Country,Year,Total,Life_expectancy,Population
Belarus,1976,total,70.3968292682927,9411000
Belarus,1977,female,74.614,5075034
Belarus,1977,male,66.17,4387966
Belarus,1977,total,70.2890243902439,9463000
Belarus,1978,female,74.335,5105812
Belarus,1978,male,66.031,4419188
Belarus,1978,total,70.0817317073171,9525000
Belarus,1979,female,74.611,5133580
Belarus,1979,male,65.479,4450420
Belarus,1979,total,69.9336341463415,9584000
Belarus,1980,female,74.308,5160641
Belarus,1980,male,65.756,4482359
Belarus,1980,total,69.9277073170732,9643000
Belarus,1981,female,74.443,5192628
Belarus,1981,male,65.588,4517372
Belarus,1981,total,69.907512195122,9710000
Belarus,1982,female,74.806,5224294
Belarus,1982,male,65.573,4551706
Belarus,1982,total,70.0769024390244,9776000
Belarus,1983,female,74.505,5256848
Belarus,1983,male,65.309,4586152
Belarus,1983,total,69.7948536585366,9843000
Belarus,1984,female,74.553,5289433
Belarus,1984,male,64.811,4620567
Belarus,1984,total,69.5631951219512,9910000
Belarus,1985,female,75.5,5321529
Belarus,1985,male,66.7,4653471
Belarus,1985,total,70.9926829268293,9975000
Belarus,1986,female,75.98,5354821
Belarus,1986,male,67.33,4688179
Belarus,1986,total,71.549512195122,10043000
Belarus,1987,female,75.6,5387621
Belarus,1987,male,66.6,4723379
Belarus,1987,total,70.990243902439,10111000
Belarus,1988,female,75.9,5396631
Belarus,1988,male,67,4743369
Belarus,1988,total,71.3414634146341,10140000
Belarus,1989,female,76.4,5405163
Belarus,1989,male,66.8,4764837
Belarus,1989,total,71.4829268292683,10170000
Belarus,1990,female,75.6,5411107
Belarus,1990,male,66.3,4778241
Belarus,1990,total,70.8365853658537,10189348
Belarus,1991,female,75.5,5410497
Belarus,1991,male,65.5,4783553
Belarus,1991,total,70.3780487804878,10194050
Belarus,1992,female,75.4,5417420
Belarus,1992,male,64.9,4799050
Belarus,1992,total,70.0219512195122,10216470
Belarus,1993,female,74.4,5424491
Belarus,1993,male,63.8,4814559
Belarus,1993,total,68.9707317073171,10239050
Belarus,1994,female,74.3,5429670
Belarus,1994,male,63.5,4797285
Belarus,1994,total,68.7682926829268,10226955
Belarus,1995,female,74.3,5423510
Belarus,1995,male,62.9,4770321
Belarus,1995,total,68.4609756097561,10193831
Belarus,1996,female,74.3,5402294
Belarus,1996,male,63,4757275
Belarus,1996,total,68.5121951219512,10159569
Belarus,1997,female,74.3,5376448
Belarus,1997,male,62.9,4740985
Belarus,1997,total,68.4609756097561,10117433
Belarus,1998,female,74.4,5349815
Belarus,1998,male,62.7,4722148
Belarus,1998,total,68.4073170731707,10071963
Belarus,1999,female,73.9,5327231
Belarus,1999,male,62.2,4699507
Belarus,1999,total,67.9073170731707,10026738
Belarus,2000,female,74.7,5305824
Belarus,2000,male,63.4,4673786
Belarus,2000,total,68.9121951219512,9979610
Belarus,2001,female,74.5,5281537
Belarus,2001,male,62.8,4647012
Belarus,2001,total,68.5073170731707,9928549
Belarus,2002,female,74.1,5251762
Belarus,2002,male,62.3,4613786
Belarus,2002,total,68.0560975609756,9865548
Belarus,2003,female,74.7,5219844
Belarus,2003,male,62.7,4576905
Belarus,2003,total,68.5536585365854,9796749
Belarus,2004,female,75,5188807
Belarus,2004,male,63.2,4541339
Belarus,2004,total,68.9560975609756,9730146
Belarus,2005,female,75.1,5158397
Belarus,2005,male,62.9,4505518
Belarus,2005,total,68.8512195121951,9663915
Belarus,2006,female,75.5,5131704
Belarus,2006,male,63.6,4473220
Belarus,2006,total,69.4048780487805,9604924
Belarus,2007,female,76.2,5111547
Belarus,2007,male,64.5,4449406
Belarus,2007,total,70.2073170731707,9560953
Belarus,2008,female,76.5,5096090
Belarus,2008,male,64.7,4431895
Belarus,2008,total,70.4560975609756,9527985
Belarus,2009,female,76.4,5084640
Belarus,2009,male,64.7,4419943
Belarus,2009,total,70.4073170731707,9504583
Belarus,2010,female,76.5,5074444
Belarus,2010,male,64.6,4409392
Belarus,2010,total,70.4048780487805,9483836
Belarus,2011,female,76.7,5064259
Belarus,2011,male,64.7,4397384
Belarus,2011,total,70.5536585365854,9461643
Belarus,2012,female,77.6,5057231
Belarus,2012,male,66.6,4389605
Belarus,2012,total,71.9658536585366,9446836
Belarus,2013,female,77.9,5054425
Belarus,2013,male,67.3,4388786
Belarus,2013,total,72.4707317073171,9443211
Belarus,2014,female,78.4,5055280
Belarus,2014,male,67.8,4393235
Belarus,2014,total,72.9707317073171,9448515
Belarus,2015,female,78.9,5059103
Belarus,2015,male,68.6,4401973
Belarus,2015,total,73.6243902439025,9461076
Belarus,2016,female,79,5060389
Belarus,2016,male,68.9,4408990
Belarus,2016,total,73.8268292682927,9469379
Belarus,2017,female,79.2,5052859
Belarus,2017,male,69.3,4406130
Belarus,2017,total,74.1292682926829,9458989
Belarus,2018,female,79.4,5040188
Belarus,2018,male,69.2,4398597
Belarus,2018,total,74.1756097560976,9438785
Belarus,2019,female,79.4,5028345
Belarus,2019,male,69.3,4391413
Belarus,2019,total,74.2268292682927,9419758
Belarus,2020,female,77.866,5007632
Belarus,2020,male,67.306,4372320
Belarus,2020,total,72.4572195121951,9379952
Belarus,2021,female,77.697,4967859
Belarus,2021,male,67.298,4334726
Belarus,2021,total,72.3706829268293,9302585
Belarus,2022,female,78.384,4928161
Belarus,2022,male,68.09,4299910
Belarus,2022,total,73.1114634146342,9228071
Belarus,2023,female,..,4900868
Belarus,2023,male,..,4277430
Belarus,2023,total,..,9178298
Belgium,1960,female,72.77,4670041
Belgium,1960,male,66.78,4483448
Belgium,1960,total,69.7019512195122,9153489
Belgium,1961,female,73.63,4688463
Belgium,1961,male,67.56,4495485
Belgium,1961,total,70.5209756097561,9183948
Belgium,1962,female,73.18,4708343
Belgium,1962,male,67.4,4512235
Belgium,1962,total,70.219512195122,9220578
Belgium,1963,female,73.14,4743439
Belgium,1963,male,67.11,4546331
Belgium,1963,total,70.0514634146342,9289770
Belgium,1964,female,73.9,4788410
Belgium,1964,male,67.76,4589703
Belgium,1964,total,70.7551219512195,9378113
Belgium,1965,female,73.76,4832026
Belgium,1965,male,67.64,4631641
Belgium,1965,total,70.6253658536586,9463667
Belgium,1966,female,73.8,4864806
Belgium,1966,male,67.76,4663001
Belgium,1966,total,70.7063414634146,9527807
Belgium,1967,female,74.25,4892034
Belgium,1967,male,67.93,4688957
Belgium,1967,total,71.0129268292683,9580991
Belgium,1968,female,73.92,4911621
Belgium,1968,male,67.62,4707135
Belgium,1968,total,70.6931707317073,9618756
Belgium,1969,female,74.13,4926130
Belgium,1969,male,67.56,4719902
Belgium,1969,total,70.7648780487805,9646032
